gene_id,gene_symbol,classification_v7,stability
ENSG00000073792,IGF2BP2,regulation-driven,1.0
ENSG00000074071,MRPS34,gene-driven,1.0
ENSG00000074211,PPP2R2C,gene-driven,0.95
ENSG00000074276,CDHR2,gene-driven,0.656
ENSG00000074317,SNCB,gene-driven,0.926
ENSG00000074410,CA12,neutral,0.999
ENSG00000074416,MGLL,neutral,0.991
ENSG00000074771,NOX3,neutral,1.0
ENSG00000074935,TUBE1,neutral,0.996
ENSG00000075073,TACR2,neutral,1.0
ENSG00000075142,SRI,neutral,1.0
ENSG00000075188,NUP37,neutral,1.0
ENSG00000075290,WNT8B,neutral,1.0
ENSG00000075303,SLC25A40,gene-driven,0.531
ENSG00000075407,ZNF37A,neutral,1.0
ENSG00000075420,FNDC3B,regulation-driven,0.519
ENSG00000075673,ATP12A,neutral,0.988
ENSG00000075884,ARHGAP15,neutral,0.912
ENSG00000075914,EXOSC7,neutral,1.0
ENSG00000075945,KIFAP3,neutral,0.56
ENSG00000075975,MKRN2,gene-driven,1.0
ENSG00000076003,MCM6,neutral,0.94
ENSG00000076053,RBM7,gene-driven,1.0
ENSG00000076067,RBMS2,neutral,0.655
ENSG00000076248,UNG,neutral,0.993
ENSG00000076321,KLHL20,neutral,0.865
ENSG00000076356,,regulation-driven,0.87
ENSG00000076513,ANKRD13A,neutral,0.998
ENSG00000076604,TRAF4,gene-driven,1.0
ENSG00000076641,PAG1,regulation-driven,0.849
ENSG00000076706,MCAM,neutral,0.961
ENSG00000077092,RARB,regulation-driven,1.0
ENSG00000077097,,gene-driven,1.0
ENSG00000077150,NFKB2,neutral,0.692
ENSG00000077152,UBE2T,neutral,1.0
ENSG00000077157,,gene-driven,1.0
ENSG00000077232,DNAJC10,neutral,1.0
ENSG00000077327,SPAG6,regulation-driven,0.837
ENSG00000077420,APBB1IP,neutral,0.706
ENSG00000077498,TYR,regulation-driven,0.968
ENSG00000077943,ITGA8,regulation-driven,0.818
ENSG00000078124,ACER3,neutral,0.984
ENSG00000078177,N4BP2,gene-driven,1.0
ENSG00000078237,TIGAR,neutral,1.0
ENSG00000078295,ADCY2,regulation-driven,0.965
ENSG00000078399,HOXA9,gene-driven,1.0
ENSG00000078401,EDN1,neutral,1.0
ENSG00000078725,BRINP1,regulation-driven,0.77
ENSG00000078900,TP73,gene-driven,0.841
ENSG00000079277,MKNK1,gene-driven,1.0
ENSG00000079393,DUSP13B,gene-driven,1.0
ENSG00000079459,FDFT1,gene-driven,0.929
ENSG00000079557,AFM,neutral,1.0
ENSG00000079689,SCGN,neutral,1.0
ENSG00000079739,PGM1,gene-driven,0.645
ENSG00000079931,MOXD1,neutral,1.0
ENSG00000079950,STX7,neutral,1.0
ENSG00000080007,DDX43,neutral,1.0
ENSG00000080166,DCT,neutral,0.999
ENSG00000080293,SCTR,neutral,0.934
ENSG00000080298,RFX3,gene-driven,0.998
ENSG00000080371,RAB21,neutral,1.0
ENSG00000080546,SESN1,neutral,0.953
ENSG00000080608,PUM3,neutral,1.0
ENSG00000080802,CNOT4,gene-driven (relaxed),0.996
ENSG00000080815,,neutral,0.572
ENSG00000080819,CPOX,neutral,1.0
ENSG00000081014,AP4E1,neutral,0.842
ENSG00000081019,RSBN1,gene-driven,1.0
ENSG00000081026,MAGI3,gene-driven,1.0
ENSG00000081051,AFP,neutral,1.0
ENSG00000081148,IMPG2,neutral,1.0
ENSG00000081177,EXD2,neutral,1.0
ENSG00000081181,ARG2,neutral,1.0
ENSG00000081277,PKP1,neutral,0.749
ENSG00000081307,UBA5,neutral,0.992
ENSG00000081320,STK17B,neutral,1.0
ENSG00000081692,JMJD4,gene-driven,1.0
ENSG00000081760,AACS,neutral,0.735
ENSG00000081791,DELE1,gene-driven,1.0
ENSG00000081800,SLC13A1,neutral,0.602
ENSG00000082068,WDR70,neutral,0.598
ENSG00000082074,FYB1,gene-driven,1.0
ENSG00000082293,COL19A1,neutral,1.0
ENSG00000082497,SERTAD4,neutral,0.814
ENSG00000082512,TRAF5,neutral,1.0
ENSG00000082515,MRPL22,gene-driven,1.0
ENSG00000082516,GEMIN5,neutral,1.0
ENSG00000082556,OPRK1,neutral,0.812
ENSG00000082996,RNF13,neutral,0.787
ENSG00000083123,BCKDHB,neutral,0.987
ENSG00000083168,,neutral,0.716
ENSG00000083520,DIS3,neutral,0.842
ENSG00000083535,PIBF1,neutral,0.994
ENSG00000083635,NUFIP1,neutral,1.0
ENSG00000083720,OXCT1,gene-driven,0.611
ENSG00000083782,EPYC,neutral,1.0
ENSG00000083937,CHMP2B,gene-driven,0.999
ENSG00000084073,ZMPSTE24,gene-driven,1.0
ENSG00000084092,NOA1,regulation-driven,0.658
ENSG00000084093,REST,gene-driven,1.0
ENSG00000084110,HAL,regulation-driven,0.789
ENSG00000084444,FAM234B,gene-driven,0.751
ENSG00000084628,NKAIN1,gene-driven,0.989
ENSG00000084652,TXLNA,gene-driven,0.89
ENSG00000084710,EFR3B,regulation-driven,0.969
ENSG00000084731,KIF3C,gene-driven,1.0
ENSG00000084733,RAB10,neutral,1.0
